Price,Make,Model,Year,Mileage (km),Color,Transmission,Fuel Type,Body Type,Condition,City,Governorate,Age,mileage_band
590000,Mitsubishi,Lancer EX Shark,2015,183000.0,Gray,Automatic,Gas,Sedan,Used,Cairo,Cairo,11,120-200K
250000,Byd,F3,2013,0.0,White,Manual,Diesel,Sedan,Used,Giza,Giza,13,0-20K
550000,Chery,Arrizo 5,2020,80000.0,Red,Automatic,Diesel,Sedan,Used,Cairo,Cairo,6,60-120K
450000,Toyota,Yaris,2018,85000.0,Black,Automatic,Gas,Sedan,Used,Nasr city,Cairo,8,60-120K
105000,Fiat,Shahin,1998,0.0,Other,Manual,Gas,Sedan,Used,Asyut,Asyut,28,0-20K
2325000,Jeep,Grand Cherokee,2020,150000.0,Black,Automatic,Gas,SUV,Used,Nasr city,Cairo,6,120-200K
800000,Kia,Carens,2014,193000.0,Mocha,Automatic,Gas,MiniVans,Used,Heliopolis,Cairo,12,120-200K
715000,Citroën,C4,2018,125000.0,Dark red,Automatic,Gas,Sedan,Used,Nasr city,Cairo,8,120-200K
760000,Hyundai,Elantra MD,2012,182000.0,Blue,Automatic,Gas,Sedan,Used,Cairo,Cairo,14,120-200K
145000,Kia,Pride,1997,180000.0,Olive,Manual,Gas,Sedan,Used,Nasr city,Cairo,29,120-200K
2750000,BMW,X5,2020,147000.0,Dark blue,Automatic,Gas,SUV,Used,Heliopolis,Cairo,6,120-200K
580000,Hyundai,Elantra HD,2017,230000.0,Champagne,Automatic,Gas,Sedan,Used,Giza,Giza,9,200K+
190000,Chery,A15,2008,300000.0,Brown,Manual,Gas,Sedan,Used,Giza,Giza,18,200K+
580000,Nissan,Sunny,2022,95000.0,Other,Automatic,Diesel,Sedan,Used,Giza,Giza,4,60-120K
1140000,MG,ZS,2026,10000.0,Red,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,0,0-20K
320000,Chevrolet,Lanos,2012,126000.0,Silver,Automatic,Diesel,Sedan,Used,Nasr city,Cairo,14,120-200K
1250000,MG,HS,2023,20000.0,Dark blue,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,3,0-20K
890000,MG,ZS,2022,60000.0,Dark blue,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,4,20-60K
270000,Daewoo,Lanos,2004,215000.0,White,Manual,Gas,Sedan,Used,Shubra,Cairo,22,200K+
725000,Mitsubishi,Lancer,2016,150000.0,Gray,Automatic,Gas,Sedan,Used,Shubra al-Khaimah,Qalyubia,10,120-200K
3000000,Mitsubishi,Pajero,2022,73000.0,Brown,Automatic,Gas,SUV,Used,Giza,Giza,4,60-120K
560000,Peugeot,3008,2011,125000.0,Red,Automatic,Gas,SUV,Used,Nasr city,Cairo,15,120-200K
1170000,Changan,UNI-T,2024,40000.0,Dark grey,Automatic,Gas,SUV,Used,6 October,Giza,2,20-60K
560000,Nissan,Sunny,2016,197000.0,Silver,Automatic,Gas,Sedan,Used,Hadayek October,Giza,10,120-200K
640000,Opel,Astra,2016,140000.0,Other,Automatic,Gas,Sedan,Used,Mokattam,Cairo,10,120-200K
560000,Nissan,Sunny,2016,27200.0,Red,Automatic,Gas,Sedan,Used,El Tagamoa El Khames,Cairo,10,20-60K
1450000,Kia,Sportage,2022,65000.0,Gray,Automatic,Gas,SUV,Used,Nasr city,Cairo,4,60-120K
760000,Nissan,Qashqai,2017,171000.0,Mocha,Automatic,Gas,SUV,Used,Al Khosous,Qalyubia,9,120-200K
1150000,Kia,Xceed,2022,100000.0,Petroleum,Automatic,Gas,SUV,Used,Suez ,Suez ,4,60-120K
3700000,Mercedes,C 200 AMG,2023,4000.0,Dark grey,Automatic,Gas,Sedan,Used,Sheraton,Cairo,3,0-20K
1100000,Opel,Grandland,2019,132400.0,White,Automatic,Gas,SUV,Used,Sadat City,Monufia,7,120-200K
135000,Fiat,Siena,2004,150000.0,Silver,Manual,Gas,Sedan,Used,El Tagamoa El Khames,Cairo,22,120-200K
240000,Hyundai,Verna,2004,235000.0,Silver,Manual,Gas,Sedan,Used,El Haram,Giza,22,200K+
265000,Renault,Logan,2010,187000.0,Black,Manual,Gas,Sedan,Used,Smouha,Alexandria,16,120-200K
520000,Byd,L3,2022,255000.0,Mocha,Automatic,Hybrid,Sedan,Used,Obour City,Cairo,4,200K+
520000,Chery,Tiggo 3,2018,120000.0,Gray,Automatic,Diesel,SUV,Used,Madinaty,Cairo,8,60-120K
245000,Brilliance,Splendor,2006,394000.0,Silver,Manual,Diesel,Sedan,Used,Giza,Giza,20,200K+
200000,Daewoo,Lanos,1997,180000.0,Dark green,Automatic,Diesel,Sedan,Used,El Shorouk,Cairo,29,120-200K
880000,Chery,Tiggo 7,2023,46500.0,Dark red,Automatic,Natural Gas,SUV,Used,Cairo,Cairo,3,20-60K
345000,Renault,14,2014,202000.0,Dark grey,Manual,Diesel,Hatchback,Used,Cairo,Cairo,12,200K+
900000,MG,Rx5,2021,126000.0,Red,Automatic,Gas,SUV,Used,El Salam City,Cairo,5,120-200K
120000,Ford,Escort,1999,0.0,Dark red,Manual,Electric,Sedan,Used,Cairo,Cairo,27,0-20K
250000,Kia,Rio,2004,335000.0,Red,Automatic,Natural Gas,Sedan,Used,Obour City,Cairo,22,200K+
885000,MG,ZS,2021,49500.0,Black,Automatic,Gas,SUV,Used,Ismailia,Ismailia,5,20-60K
980000,Toyota,Corolla,2016,43765.0,White,Automatic,Gas,Sedan,Used,Dikirnis,Dakahlia,10,20-60K
